url,lead,source
https://opinionator.blogs.nytimes.com/2013/09/24/is-natural-gas-clean/,"The question is whether the natural gas “revolution,” which is a real thing — production is up about a third since 2005 — is also a good thing. ",nyt
https://www.nytimes.com/2012/06/10/opinion/sunday/natural-gas-by-the-book.html,"Reports from international agencies usually make for dull reading. “Golden Rules for a Golden Age of Gas,” from the Paris-based International Energy Agency, does not. It should be required reading for regulators and the industry — and for anyone who cares about energy, the environment and climate change.",nyt
https://www.nytimes.com/2001/07/01/nyregion/briefing-energy-natural-gas-pipeline.html,"A Texas company has drastically scaled back plans to lay natural gas pipelines through New Jersey. Williams Gas Pipeline Transco submitted a proposal to the Federal Energy Regulatory Commission last week to lay almost 10 miles of pipeline in Somerset and Hunterdon counties. This was scaled down from a proposal for 60 miles of pipeline, including some through the environmentally sensitive Great Swamp in central New Jersey. The company already has received approval for 30 miles of pipes through the Woodbridge and Bordentown areas. Karen DeMasters",nyt
https://www.nytimes.com/2013/10/30/automobiles/natural-gas-waits-for-its-moment.html,"CARS and trucks powered by natural gas make up a significant portion of the vehicle fleet in many parts of the world. Iran has more than two million natural gas vehicles on the road. As of 2009, Argentina had more than 1.8 million in operation and almost 2,000 natural gas filling stations. Brazil was not far behind. Italy and Germany have substantial natural gas vehicle fleets. Is America next?",nyt
https://www.nytimes.com/2014/12/23/business/energy-environment/natural-gas-glut-isnt-deterring-southwestern-energy.html,"WONDERVIEW, Ark. — Across the giant Fayetteville shale gas field here, country roads that were clogged by truck traffic just a few years ago are empty again. Once aglow at night from the bright lights twinkling on drilling rigs, the roads are now dark under the starry Arkansas sky.",nyt
https://www.nytimes.com/2014/08/22/business/energy-environment/chinas-effort-to-produce-natural-gas-falls-far-short.html,"SHOUYANG, China — Jin Peisheng, a drilling rig foreman, knows the challenges of trying to extract natural gas from a coal seam under the cornfields here in north-central China.",nyt
https://www.nytimes.com/2012/10/06/opinion/a-checkup-for-natural-gas-in-new-york.html,"Just as New York State seemed ready to allow drilling upstate to extract a rich supply of natural gas, Gov. Andrew Cuomo announced a delay. Officials will now take another look at the potential health risks of hydraulic fracturing — a technique for extracting natural gas from deep shale formations, like the Marcellus Shale that lies beneath the states’s southern tier. Such caution makes sense, especially when approval of full-scale drilling could mean tens of thousands of gas rigs dotting the landscape over the next 30 years.",nyt
https://www.nytimes.com/audio/2014/12/22/science/scitimes-podcast-natgas.html,"Natural gas seems to be better for the environment than coal because of its reduced carbon emissions, but environmentalists say it may not be better after all.",nyt
https://greeninc.blogs.nytimes.com/2009/04/07/blogs/07greeninc-maker-of5215.html,"(Photo: FuelMaker.com The Phill, a residential compressed natural gas fueling system, never really caught on. ) Natural gas is cheap and plentiful, and last summer the future for vehicles fueled by compressed natural gas -- or CNG -- looked bright. But then crude oil and gasoline prices tanked. Now, the future of CNG cars looks a lot less certain.  It hardly got any attention, but late last week FuelMaker, the Honda-owned maker of natural gas fueling systems -- including a residential model called the ""Phill"" -- filed for bankruptcy.  Clean Energy Fuels, a natural gas distributor owned by T. Boone Pickens, had been trying to buy the company from Honda for $17 million, but the two sides could never make a deal. The Phill, which has been on the market about six years, never caught on. Perhaps that is because it takes four hours to fill an empty tank with the device, and it costs up to $6,000.  An even bigger problem for FuelMaker might have been the fact that very few drivers own CNG vehicles. Most are fleet cars, buses and trucks owned by companies and public transportation agencies. And, of course, few gasoline filling stations offer compressed natural gas.   At the moment, the Honda Civic GX is the only CNG car on the market, and it is available at only a select number of dealerships in a few states including California and New York. ",nyt
https://www.nytimes.com/2008/05/29/business/29gas.html,"CAMERON PARISH, La.  The cost of a gallon of gas gets all the headlines, but the natural gas that will heat many American homes next winter is going up in price as fast or faster.",nyt
https://www.nytimes.com/1997/04/01/business/natural-gas-deal.html,"Union Pacific Resources Group Inc. said today that it planned to invest about $100 million in eastern Colorado to develop several natural-gas fields that contain high concentrations of helium. Union Pacific Resources Group, which is a spinoff of the Union Pacific railroad that is based in Fort Worth, said it would drill natural gas wells and build a gathering system, processing plant and a helium liquefaction facility. The facility, to be built on a 25-acre site southwest of Cheyenne Wells, Colo., will also produce natural gas liquids.",nyt
https://www.nytimes.com/2011/01/28/business/economy/28gas.html,"CAMERON PARISH, La.  The oil patch is a world of risk takers, but few are as daring as Charif Souki, the chairman and chief executive of Cheniere Energy. ",nyt
